,rank_ic
2021-07-06,0.5944055944055945
2021-07-07,0.6503496503496504
2021-07-08,0.2867132867132868
2021-07-09,0.41958041958041964
2021-07-12,0.5454545454545455
2021-07-13,0.46153846153846156
2021-07-14,0.16083916083916086
2021-07-15,0.1398601398601399
2021-07-16,0.20979020979020982
2021-07-19,-0.17482517482517487
2021-07-20,-0.31468531468531474
2021-07-21,-0.006993006993006993
2021-07-22,0.5524475524475525
2021-07-23,0.3356643356643357
2021-07-26,0.06993006993006995
2021-07-27,0.27272727272727276
2021-07-28,-0.1188811188811189
2021-07-29,-0.11188811188811189
2021-07-30,-0.11188811188811189
2021-08-02,0.44055944055944063
2021-08-03,0.3426573426573427
2021-08-04,0.5314685314685316
2021-08-05,0.43356643356643365
2021-08-06,0.11188811188811189
2021-08-09,0.10489510489510491
2021-08-10,0.2517482517482518
2021-08-11,0.5804195804195805
2021-08-12,-0.1328671328671329
2021-08-13,0.32867132867132864
2021-08-16,0.16783216783216784
2021-08-17,0.013986013986013986
2021-08-18,-0.1258741258741259
2021-08-19,0.034965034965034975
2021-08-20,-0.11188811188811189
2021-08-23,-0.3636363636363637
2021-08-24,-0.2377622377622378
2021-08-25,-0.08391608391608392
2021-08-26,-0.06993006993006995
2021-08-27,-0.02097902097902098
2021-08-30,0.06993006993006995
2021-08-31,-0.07692307692307693
2021-09-01,0.5524475524475525
2021-09-02,0.3426573426573427
2021-09-03,0.4545454545454546
2021-09-07,0.23076923076923078
2021-09-08,0.2377622377622378
2021-09-09,0.44755244755244755
2021-09-10,0.09090909090909093
2021-09-13,0.4895104895104896
2021-09-14,0.2517482517482518
2021-09-15,0.16783216783216784
2021-09-16,-0.08391608391608392
2021-09-17,0.2377622377622378
2021-09-20,0.006993006993006993
2021-09-21,0.46153846153846156
2021-09-22,0.18881118881118883
2021-09-23,0.35664335664335667
2021-09-24,0.2447552447552448
2021-09-27,0.055944055944055944
2021-09-28,-0.22377622377622378
2021-09-29,-0.15384615384615385
2021-09-30,-0.013986013986013986
2021-10-01,0.31468531468531474
2021-10-04,-0.6293706293706295
2021-10-05,-0.3216783216783217
2021-10-06,-0.18881118881118883
2021-10-07,-0.3846153846153847
2021-10-08,-0.1258741258741259
2021-10-11,-0.08391608391608392
2021-10-12,0.1328671328671329
2021-10-13,0.2027972027972028
2021-10-14,0.32867132867132864
2021-10-15,-0.6293706293706295
2021-10-18,-0.2027972027972028
2021-10-19,-0.23076923076923078
2021-10-20,-0.3636363636363637
2021-10-21,-0.2517482517482518
2021-10-22,-0.1188811188811189
2021-10-25,-0.22377622377622378
2021-10-26,-0.5804195804195805
2021-10-27,-0.15384615384615385
2021-10-28,-0.15384615384615385
2021-10-29,0.08391608391608392
2021-11-01,-0.22377622377622378
2021-11-02,-0.04895104895104895
2021-11-03,-0.16083916083916086
2021-11-04,0.44055944055944063
2021-11-05,0.3636363636363637
2021-11-08,0.5174825174825175
2021-11-09,-0.14685314685314685
2021-11-10,-0.2867132867132868
2021-11-11,-0.3916083916083916
2021-11-12,-0.20979020979020982
2021-11-15,0.0
2021-11-16,0.2027972027972028
2021-11-17,0.0
2021-11-18,0.25874125874125875
2021-11-19,0.11188811188811189
2021-11-22,-0.1258741258741259
2021-11-23,0.1258741258741259
2021-11-24,0.4545454545454546
2021-11-26,0.7062937062937064
2021-11-29,-0.08391608391608392
2021-11-30,0.3216783216783217
2021-12-01,0.27272727272727276
2021-12-02,-0.35664335664335667
2021-12-03,-0.43356643356643365
2021-12-06,-0.5104895104895105
2021-12-07,-0.3636363636363637
2021-12-08,0.0
2021-12-09,0.2517482517482518
2021-12-10,0.23076923076923078
2021-12-13,0.32867132867132864
2021-12-14,-0.1958041958041958
2021-12-15,-0.5664335664335665
2021-12-16,-0.0979020979020979
2021-12-17,0.09090909090909093
2021-12-20,0.31468531468531474
2021-12-21,-0.25874125874125875
2021-12-22,-0.27272727272727276
2021-12-23,-0.44755244755244755
2021-12-27,-0.4895104895104896
2021-12-28,-0.6433566433566434
2021-12-29,-0.5104895104895105
2021-12-30,-0.6013986013986015
2021-12-31,-0.4895104895104896
2022-01-03,-0.37762237762237766
2022-01-04,0.20979020979020982
2022-01-05,0.17482517482517487
2022-01-06,-0.5174825174825175
2022-01-07,-0.6363636363636365
2022-01-10,-0.18881118881118883
2022-01-11,-0.3706293706293707
2022-01-12,-0.4125874125874127
2022-01-13,0.10489510489510491
2022-01-14,0.09090909090909093
2022-01-18,-0.7062937062937064
2022-01-19,-0.7552447552447553
2022-01-20,-0.6433566433566434
2022-01-21,-0.49650349650349657
2022-01-24,-0.027972027972027972
2022-01-25,0.5594405594405596
2022-01-26,-0.013986013986013986
2022-01-27,0.30069930069930073
2022-01-28,0.4125874125874127
2022-01-31,0.4265734265734266
2022-02-01,0.35664335664335667
2022-02-02,0.5874125874125874
2022-02-03,0.11188811188811189
2022-02-04,-0.2937062937062937
2022-02-07,-0.23076923076923078
2022-02-08,0.1328671328671329
2022-02-09,-0.21678321678321683
2022-02-10,-0.10489510489510491
2022-02-11,-0.04195804195804196
2022-02-14,-0.027972027972027972
2022-02-15,-0.4685314685314686
2022-02-16,-0.09090909090909093
2022-02-17,0.5244755244755246
2022-02-18,0.5734265734265735
2022-02-22,0.02097902097902098
2022-02-23,0.2797202797202798
2022-02-24,-0.5664335664335665
2022-02-25,-0.2867132867132868
2022-02-28,-0.06293706293706294
2022-03-01,-0.09090909090909093
2022-03-02,-0.02097902097902098
2022-03-03,-0.07692307692307693
2022-03-04,-0.06293706293706294
2022-03-07,-0.034965034965034975
2022-03-08,-0.08391608391608392
2022-03-09,-0.006993006993006993
2022-03-10,0.6643356643356644
2022-03-11,0.6503496503496504
2022-03-14,0.7412587412587414
2022-03-15,0.34965034965034975
2022-03-16,-0.15384615384615385
2022-03-17,0.2797202797202798
2022-03-18,0.3846153846153847
2022-03-21,-0.10489510489510491
2022-03-22,0.1958041958041958
2022-03-23,0.034965034965034975
2022-03-24,-0.3846153846153847
2022-03-25,-0.3706293706293707
2022-03-28,-0.5804195804195805
2022-03-29,-0.4545454545454546
2022-03-30,-0.1958041958041958
2022-03-31,-0.5034965034965035
2022-04-01,-0.20979020979020982
2022-04-04,-0.32867132867132864
2022-04-05,-0.3426573426573427
2022-04-06,-0.09090909090909093
2022-04-07,-0.3076923076923077
2022-04-08,-0.43356643356643365
2022-04-11,-0.16783216783216784
2022-04-12,-0.2447552447552448
2022-04-13,-0.6923076923076924
2022-04-14,-0.6923076923076924
2022-04-18,-0.3426573426573427
2022-04-19,-0.4545454545454546
2022-04-20,-0.4055944055944056
2022-04-21,0.3846153846153847
2022-04-22,0.3076923076923077
2022-04-25,0.2517482517482518
2022-04-26,0.3636363636363637
2022-04-27,0.7902097902097903
2022-04-28,-0.2027972027972028
2022-04-29,-0.1258741258741259
2022-05-02,-0.5944055944055945
2022-05-03,-0.6643356643356644
2022-05-04,-0.7272727272727274
2022-05-05,-0.8741258741258742
2022-05-06,-0.5314685314685316
2022-05-09,0.20979020979020982
2022-05-10,0.25874125874125875
2022-05-11,0.18881118881118883
2022-05-12,0.6293706293706295
2022-05-13,-0.2517482517482518
2022-05-16,0.17482517482517487
2022-05-17,-0.06293706293706294
2022-05-18,0.35664335664335667
2022-05-19,0.5104895104895105
2022-05-20,0.4895104895104896
2022-05-23,0.4895104895104896
2022-05-24,0.5944055944055945
2022-05-25,0.8041958041958043
2022-05-26,0.6433566433566434
2022-05-27,0.5524475524475525
2022-05-31,0.5664335664335665
2022-06-01,0.6293706293706295
2022-06-02,-0.25874125874125875
2022-06-03,-0.37762237762237766
2022-06-06,-0.8531468531468532
2022-06-07,-0.7132867132867133
2022-06-08,-0.7412587412587414
2022-06-09,-0.8531468531468532
2022-06-10,-0.6363636363636365
2022-06-13,-0.3076923076923077
2022-06-14,0.027972027972027972
2022-06-15,0.21678321678321683
2022-06-16,0.5874125874125874
2022-06-17,0.37762237762237766
2022-06-21,-0.27272727272727276
2022-06-22,-0.1958041958041958
2022-06-23,-0.3706293706293707
2022-06-24,-0.3356643356643357
2022-06-27,-0.1958041958041958
2022-06-28,-0.04195804195804196
2022-06-29,0.2937062937062937
2022-06-30,0.23076923076923078
2022-07-01,0.18181818181818185
2022-07-05,-0.055944055944055944
2022-07-06,0.20979020979020982
2022-07-07,0.14685314685314685
2022-07-08,-0.02097902097902098
2022-07-11,0.3216783216783217
2022-07-12,0.5594405594405596
2022-07-13,0.5804195804195805
2022-07-14,0.3846153846153847
2022-07-15,0.1188811188811189
2022-07-18,-0.11188811188811189
2022-07-19,-0.4265734265734266
2022-07-20,-0.6643356643356644
2022-07-21,-0.5314685314685316
2022-07-22,-0.49650349650349657
2022-07-25,-0.2937062937062937
2022-07-26,0.39860139860139865
2022-07-27,-0.027972027972027972
2022-07-28,0.3706293706293707
2022-07-29,-0.006993006993006993
2022-08-01,-0.06293706293706294
2022-08-02,-0.5034965034965035
2022-08-03,0.027972027972027972
2022-08-04,-0.27272727272727276
2022-08-05,-0.21678321678321683
2022-08-08,0.08391608391608392
2022-08-09,0.21678321678321683
2022-08-10,0.034965034965034975
2022-08-11,-0.055944055944055944
2022-08-12,-0.4265734265734266
2022-08-15,-0.31468531468531474
2022-08-16,0.034965034965034975
2022-08-17,0.06993006993006995
2022-08-18,-0.3076923076923077
2022-08-19,-0.14685314685314685
2022-08-22,-0.6293706293706295
2022-08-23,-0.027972027972027972
2022-08-24,-0.034965034965034975
2022-08-25,-0.21678321678321683
2022-08-26,-0.35664335664335667
2022-08-29,-0.1398601398601399
2022-08-30,-0.34965034965034975
2022-08-31,-0.31468531468531474
2022-09-01,0.04895104895104895
2022-09-02,0.32867132867132864
2022-09-06,-0.2937062937062937
2022-09-07,-0.4755244755244756
2022-09-08,-0.7202797202797203
2022-09-09,-0.7622377622377624
2022-09-12,-0.5734265734265735
2022-09-13,-0.07692307692307693
2022-09-14,0.15384615384615385
2022-09-15,-0.2867132867132868
2022-09-16,-0.23076923076923078
2022-09-19,-0.5454545454545455
2022-09-20,-0.0979020979020979
2022-09-21,-0.1398601398601399
2022-09-22,0.09090909090909093
2022-09-23,0.1398601398601399
2022-09-26,0.39860139860139865
2022-09-27,0.2657342657342658
2022-09-28,-0.04195804195804196
2022-09-29,0.17482517482517487
2022-09-30,-0.34965034965034975
2022-10-03,-0.3636363636363637
2022-10-04,0.35664335664335667
2022-10-05,0.3076923076923077
2022-10-06,0.17482517482517487
2022-10-07,-0.055944055944055944
2022-10-10,-0.16083916083916086
2022-10-11,0.06293706293706294
2022-10-12,-0.18881118881118883
2022-10-13,-0.2797202797202798
2022-10-14,-0.08391608391608392
2022-10-17,0.43356643356643365
2022-10-18,0.4895104895104896
2022-10-19,0.16783216783216784
2022-10-20,0.06993006993006995
2022-10-21,-0.17482517482517487
2022-10-24,-0.6013986013986015
2022-10-25,-0.30069930069930073
2022-10-26,-0.2937062937062937
2022-10-27,-0.11188811188811189
2022-10-28,-0.4055944055944056
2022-10-31,-0.6643356643356644
2022-11-01,-0.5874125874125874
2022-11-02,-0.5804195804195805
2022-11-03,-0.37762237762237766
2022-11-04,-0.4265734265734266
2022-11-07,-0.16083916083916086
2022-11-08,0.02097902097902098
2022-11-09,-0.18181818181818185
2022-11-10,0.4545454545454546
2022-11-11,0.32867132867132864
2022-11-14,0.49650349650349657
2022-11-15,0.8111888111888113
2022-11-16,0.5314685314685316
2022-11-17,0.14685314685314685
2022-11-18,0.4685314685314686
2022-11-21,0.2867132867132868
2022-11-22,-0.027972027972027972
2022-11-23,-0.10489510489510491
2022-11-25,-0.41958041958041964
2022-11-28,-0.2657342657342658
2022-11-29,0.0
2022-11-30,0.07692307692307693
2022-12-01,0.18881118881118883
2022-12-02,0.41958041958041964
2022-12-05,-0.0979020979020979
2022-12-06,-0.2797202797202798
2022-12-07,0.055944055944055944
2022-12-08,-0.04195804195804196
2022-12-09,0.0979020979020979
2022-12-12,0.5314685314685316
2022-12-13,0.4895104895104896
2022-12-14,0.44755244755244755
2022-12-15,0.8601398601398602
2022-12-16,0.6783216783216784
2022-12-19,0.6993006993006995
2022-12-20,0.7062937062937064
2022-12-21,0.9090909090909092
2022-12-22,0.44055944055944063
2022-12-23,0.14685314685314685
2022-12-27,-0.17482517482517487
2022-12-28,-0.17482517482517487
2022-12-29,0.15384615384615385
2022-12-30,-0.5314685314685316
2023-01-03,-0.5034965034965035
2023-01-04,-0.9160839160839163
2023-01-05,0.0
2023-01-06,0.06293706293706294
2023-01-09,-0.04195804195804196
