year,n_days,ann_ret%,sharpe,alpha%,beta,r2
2020,142,-6.5,-0.633,-14.35,0.046,0.0045
2021,252,41.4,1.902,30.41,0.1624,0.0654
2022,251,-14.02,-1.073,-25.45,-0.1602,0.1514
2023,250,-3.17,-0.431,-12.6,0.0843,0.0154
2024,252,26.98,1.007,20.97,0.0657,0.011
2025,250,-13.07,-0.833,-19.62,0.0374,0.0046
2026,34,146.27,4.377,69.06,0.5459,0.337
