year,total_ret%,annual_ret%,vol%,sharpe,sortino,mdd%,win_rate%,n_days
2020,-3.7,-5.0,18.42,-0.272,-0.411,-15.42,50.0,142
2021,51.3,43.25,19.09,2.266,4.285,-7.0,53.6,252
2022,-12.77,-12.12,17.85,-0.679,-1.039,-22.15,44.2,251
2023,-2.82,-1.03,19.37,-0.053,-0.083,-13.31,51.2,250
2024,30.14,28.69,21.69,1.323,2.015,-11.26,55.2,252
2025,-12.8,-11.41,21.9,-0.521,-0.773,-17.02,47.6,250
2026,21.15,147.67,32.27,4.576,7.388,-7.7,58.8,34
