,rank_ic
2021-04-06,-0.11188811188811189
2021-04-07,-0.26315951468343896
2021-04-08,0.14685314685314685
2021-04-09,-0.11558686727582713
2021-04-12,-0.23076923076923078
2021-04-13,-0.14010529366766927
2021-04-14,-0.5454545454545455
2021-04-15,-0.08391608391608392
2021-04-16,-0.17482517482517487
2021-04-19,-0.4895104895104896
2021-04-20,-0.41958041958041964
2021-04-21,-0.5454545454545455
2021-04-22,0.16783216783216784
2021-04-23,-0.15384615384615385
2021-04-26,-0.41958041958041964
2021-04-27,-0.43356643356643365
2021-04-28,-0.31468531468531474
2021-04-29,-0.6363636363636365
2021-04-30,-0.3636363636363637
2021-05-03,-0.06993006993006995
2021-05-04,-0.5384615384615385
2021-05-05,-0.1398601398601399
2021-05-06,0.04195804195804196
2021-05-07,0.06293706293706294
2021-05-10,-0.06993006993006995
2021-05-11,-0.1398601398601399
2021-05-12,0.02097902097902098
2021-05-13,0.3426573426573427
2021-05-14,0.2937062937062937
2021-05-17,0.18181818181818185
2021-05-18,0.287215852018722
2021-05-19,-0.16112108771781966
2021-05-20,-0.5148869542286845
2021-05-21,-0.3636363636363637
2021-05-24,-0.1398601398601399
2021-05-25,-0.013986013986013986
2021-05-26,0.02097902097902098
2021-05-27,-0.07692307692307693
2021-05-28,0.21678321678321683
2021-06-01,0.2657342657342658
2021-06-02,0.0
2021-06-03,0.31523691075225585
2021-06-04,0.16783216783216784
2021-06-07,0.2241684698682708
2021-06-08,0.14685314685314685
2021-06-09,0.23076923076923078
2021-06-10,0.23076923076923078
2021-06-11,0.02097902097902098
2021-06-14,0.27272727272727276
2021-06-15,0.3216783216783217
2021-06-16,0.5104895104895105
2021-06-17,0.23076923076923078
2021-06-18,0.21678321678321683
2021-06-21,0.4055944055944056
2021-06-22,-0.006993006993006993
2021-06-23,0.02097902097902098
2021-06-24,0.1258741258741259
2021-06-25,-0.1958041958041958
2021-06-28,0.10489510489510491
2021-06-29,-0.37762237762237766
2021-06-30,-0.3426573426573427
2021-07-01,-0.14685314685314685
2021-07-02,-0.06293706293706294
