,alpha_ann
2020-12-09,0.013650128030058516
2020-12-10,0.010644417740445925
2020-12-11,-0.015773890978294118
2020-12-14,-0.019052527252328984
2020-12-15,-0.03610179052532849
2020-12-16,-0.05062293537333778
2020-12-17,-0.04808809459589803
2020-12-18,-0.09684708460671032
2020-12-21,-0.13383066311468145
2020-12-22,-0.11479147987103983
2020-12-23,-0.13441280071987563
2020-12-24,-0.13610147597460398
2020-12-28,-0.12380711629103883
2020-12-29,-0.12614811142017227
2020-12-30,-0.130263505689863
2020-12-31,-0.11718178878001523
2021-01-04,-0.11086219029283433
2021-01-05,-0.09029831599752877
2021-01-06,-0.08093722043850902
2021-01-07,-0.04604187373337604
2021-01-08,-0.0469955130637397
2021-01-11,-0.0870595337500385
2021-01-12,-0.09314919867629551
2021-01-13,-0.07030979338043196
2021-01-14,-0.08476002491351432
2021-01-15,-0.018451675818432038
2021-01-19,0.0004525643084298557
2021-01-20,0.03629585517120189
2021-01-21,0.01390557041859021
2021-01-22,0.02743132848780094
2021-01-25,-0.008633023121189989
2021-01-26,0.022189862364291248
2021-01-27,-0.006764471193062853
2021-01-28,0.015582653833890433
2021-01-29,-0.018934118304311104
2021-02-01,-0.060637961758469854
2021-02-02,-0.051933609990382865
2021-02-03,-0.046978061109209976
2021-02-04,-0.06887119494227763
2021-02-05,-0.06905927845925121
2021-02-08,-0.08713707613366148
2021-02-09,-0.0877985580679603
2021-02-10,-0.07146879239004816
2021-02-11,-0.05857366044459271
2021-02-12,-0.04150547875867437
2021-02-16,-0.05842254242690785
2021-02-17,-0.043158255829241564
2021-02-18,-0.06229609274651219
2021-02-19,-0.07204564662654998
2021-02-22,-0.0518637562624251
2021-02-23,-0.046854187645989434
2021-02-24,-0.07782509462405857
2021-02-25,-0.028118267114724656
2021-02-26,-0.028995091035802962
2021-03-01,-0.027266354445536874
2021-03-02,-0.009160687643323994
2021-03-03,-0.037515145760570585
2021-03-04,-0.0617722463169343
2021-03-05,-0.05229770053796623
2021-03-08,0.030241086682681283
2021-03-09,0.03946203521995456
2021-03-10,0.05177297320012889
2021-03-11,-0.043191774540130644
2021-03-12,-0.12181718905582802
2021-03-15,-0.10255600136686921
2021-03-16,-0.11276394057750119
2021-03-17,-0.0661985529414079
2021-03-18,-0.07182359308890324
2021-03-19,-0.01813924961704875
2021-03-22,-0.03043610151374218
2021-03-23,0.023668567068125375
2021-03-24,-2.3073585880997987e-05
2021-03-25,0.09960117992147316
2021-03-26,0.13217005134595858
2021-03-29,0.15184774724162298
2021-03-30,0.1153687310794393
2021-03-31,0.12021230519351003
2021-04-01,0.13608659749305332
2021-04-05,0.13147989411217822
2021-04-06,0.1374788070521668
2021-04-07,0.11608150156669382
2021-04-08,0.1178584121224955
2021-04-09,0.10475981705743839
2021-04-12,0.11584910136122148
2021-04-13,0.16155206335656527
2021-04-14,0.12216080292236356
2021-04-15,0.14446561405745648
2021-04-16,0.1395076907619708
2021-04-19,0.11473606790160079
2021-04-20,0.12515129674260128
2021-04-21,0.11245064474407847
2021-04-22,0.1582773554947261
2021-04-23,0.17078528830132367
2021-04-26,0.18732245364617325
2021-04-27,0.13911178733067434
2021-04-28,0.15857136219317383
2021-04-29,0.14757222989533875
2021-04-30,0.09592945415065589
2021-05-03,0.11741583418194987
2021-05-04,0.19910896213889884
2021-05-05,0.13645284391949572
2021-05-06,0.17365051377697313
2021-05-07,0.18148148688914537
2021-05-10,0.24303003234932272
2021-05-11,0.24586992919450007
2021-05-12,0.2643444757623499
2021-05-13,0.2258797179174261
2021-05-14,0.16894884297412943
2021-05-17,0.17906518432705756
2021-05-18,0.17706392799152404
2021-05-19,0.1868734732845688
2021-05-20,0.15315041521272812
2021-05-21,0.16250168673592666
2021-05-24,0.1607024064683905
2021-05-25,0.1791644828545244
2021-05-26,0.2003683745806291
2021-05-27,0.14402914553935475
2021-05-28,0.10558456532019746
2021-06-01,0.15179013206156533
2021-06-02,0.13315867308945234
2021-06-03,0.19390212865469783
2021-06-04,0.21020242188966332
2021-06-07,0.1821834469955434
2021-06-08,0.14802774501151156
2021-06-09,0.16150595685777833
2021-06-10,0.1701824597381714
2021-06-11,0.14988180176846588
2021-06-14,0.1444283227821662
2021-06-15,0.16553151545074182
2021-06-16,0.15198141623072392
2021-06-17,0.22759731856925944
2021-06-18,0.25835487002484997
2021-06-21,0.2973578345984287
2021-06-22,0.33634246971865195
2021-06-23,0.3683747145578
2021-06-24,0.33446838420906444
2021-06-25,0.35100773567168897
2021-06-28,0.3232898741452637
2021-06-29,0.33143528469473693
2021-06-30,0.3273389116438057
2021-07-01,0.2979173667143733
2021-07-02,0.3560929555639471
2021-07-06,0.3596695971700911
2021-07-07,0.348518084122305
2021-07-08,0.3247484543098771
2021-07-09,0.27489514233340573
2021-07-12,0.2832265091580855
2021-07-13,0.29836012316219956
2021-07-14,0.307514364265738
2021-07-15,0.2627658639944961
2021-07-16,0.28785563971001243
2021-07-19,0.19758316071726445
2021-07-20,0.21613512571121835
2021-07-21,0.1638917306599577
2021-07-22,0.17603072991035623
2021-07-23,0.26133368423522146
2021-07-26,0.28824136962109453
2021-07-27,0.28194156503243717
2021-07-28,0.3334152954369466
2021-07-29,0.36199909327907664
2021-07-30,0.35229114681253093
2021-08-02,0.3711966753889327
2021-08-03,0.38210925535338325
2021-08-04,0.3891818321198559
2021-08-05,0.416346596402247
2021-08-06,0.37953962756403853
2021-08-09,0.34937752677079104
2021-08-10,0.3666067885949365
2021-08-11,0.39865959631780784
2021-08-12,0.4372785802447773
2021-08-13,0.46754316632242765
2021-08-16,0.4923001213806437
2021-08-17,0.4167496963993316
2021-08-18,0.4401639814391625
2021-08-19,0.43048399181113883
2021-08-20,0.41061929409701925
2021-08-23,0.4451348163284466
2021-08-24,0.46267960055230767
2021-08-25,0.4328302337189709
2021-08-26,0.4124188370816953
2021-08-27,0.41741081476592656
2021-08-30,0.38227995582035074
2021-08-31,0.4217105747033939
2021-09-01,0.37443622152772693
2021-09-02,0.3693282840313277
2021-09-03,0.34165851473130165
2021-09-07,0.3638155051205547
2021-09-08,0.3753683441988984
2021-09-09,0.4139567223885748
2021-09-10,0.4215324130805986
2021-09-13,0.42100420963062446
2021-09-14,0.42188681857250554
2021-09-15,0.437112864230014
2021-09-16,0.4297895201262293
2021-09-17,0.4231878579722711
2021-09-20,0.4399122980790644
2021-09-21,0.4109597753230978
2021-09-22,0.45668514861438697
2021-09-23,0.36128264088752765
2021-09-24,0.3753500969624191
2021-09-27,0.351695974191087
2021-09-28,0.33955846984153343
2021-09-29,0.2961193551319815
2021-09-30,0.301624929058784
2021-10-01,0.2980430495583505
2021-10-04,0.2954621385964507
2021-10-05,0.300394532387886
2021-10-06,0.31413780109999895
2021-10-07,0.34400400418057486
2021-10-08,0.354776715717777
2021-10-11,0.34635761640247276
2021-10-12,0.3764638602559688
2021-10-13,0.4005052868891898
2021-10-14,0.41579536326249944
2021-10-15,0.42437351483212865
2021-10-18,0.4328210594604644
2021-10-19,0.47582846587200733
2021-10-20,0.4328371160742274
2021-10-21,0.4089917260838327
2021-10-22,0.4488612598057477
2021-10-25,0.4863599650840878
2021-10-26,0.48950652372701975
2021-10-27,0.5418163497954948
2021-10-28,0.5443795108707865
2021-10-29,0.5092902214162044
2021-11-01,0.49679918781445637
2021-11-02,0.5555040272248183
2021-11-03,0.5664688416021884
2021-11-04,0.5733034515761671
2021-11-05,0.5685542073096478
2021-11-08,0.5599023404232732
2021-11-09,0.6020326154149724
2021-11-10,0.6017683660528949
2021-11-11,0.5551907757923259
2021-11-12,0.5784996372319011
2021-11-15,0.5840409303363446
2021-11-16,0.5654153706772451
2021-11-17,0.6535530470381465
2021-11-18,0.618296879635446
2021-11-19,0.6242692445243521
2021-11-22,0.6348970782421278
2021-11-23,0.5902272924872285
2021-11-24,0.6231363388682956
2021-11-26,0.6937683157681654
2021-11-29,0.685062216924653
2021-11-30,0.7046113831521992
2021-12-01,0.6976935398011125
2021-12-02,0.5568825193181244
2021-12-03,0.5769496376772981
2021-12-06,0.5540501007697174
2021-12-07,0.5122558584155065
2021-12-08,0.5223624279010687
2021-12-09,0.5119128534337198
2021-12-10,0.5230781594324836
2021-12-13,0.5055546118398029
2021-12-14,0.5070069091018626
2021-12-15,0.4781472948469882
2021-12-16,0.46474520694686533
2021-12-17,0.38559473576048364
2021-12-20,0.39381920643527435
2021-12-21,0.4015427419995006
2021-12-22,0.4035418768168725
2021-12-23,0.3878916482982129
2021-12-27,0.42834623909855707
2021-12-28,0.4077901018668825
2021-12-29,0.4051979599410803
2021-12-30,0.4572938241741641
2021-12-31,0.36361556389654837
2022-01-03,0.35801613051134457
2022-01-04,0.3287380000116112
2022-01-05,0.3221767968413754
2022-01-06,0.36360760215956467
2022-01-07,0.35561351093631377
2022-01-10,0.3783090540247962
2022-01-11,0.3788523678807496
2022-01-12,0.4124459360035662
2022-01-13,0.40089654823749726
2022-01-14,0.4295626532868549
2022-01-18,0.3801266576268316
2022-01-19,0.3942258913674644
2022-01-20,0.41549568389875324
2022-01-21,0.34154125152984743
2022-01-24,0.3493775483792165
2022-01-25,0.37800287381545716
2022-01-26,0.38156174580210045
2022-01-27,0.3674882259067098
2022-01-28,0.3867393555675748
2022-01-31,0.38347101919207055
2022-02-01,0.3175544864024141
2022-02-02,0.3156734949187599
2022-02-03,0.28563689782324697
2022-02-04,0.3326140232781374
2022-02-07,0.341856301286901
2022-02-08,0.3221636211956327
2022-02-09,0.2910581229689057
2022-02-10,0.22291790259065908
2022-02-11,0.21200006297941965
2022-02-14,0.26438693162968385
2022-02-15,0.3013286844195763
2022-02-16,0.24367786327771404
2022-02-17,0.2614399201599276
2022-02-18,0.25803253338381765
2022-02-22,0.19022978925828862
2022-02-23,0.16038063463823118
2022-02-24,0.2013340698716227
2022-02-25,0.15272781014659254
2022-02-28,0.13466667693108716
2022-03-01,0.14881836476689755
2022-03-02,0.151727307638622
2022-03-03,0.17497443803963014
2022-03-04,0.1783780908707387
2022-03-07,0.17005253258982697
2022-03-08,0.17509953828525404
2022-03-09,0.1368651856238311
2022-03-10,0.08025668729220656
