signal,fwd_days,IC_mean,IC_std,ICIR,RankIC_mean,RankICIR,IC_pos_pct,N_days,N_tickers
NLP Sentiment (tone),10,0.00794,0.36127,0.022,0.02478,0.0709,0.5284,1463,12
NLP Tone Drift (vs year-ago),10,-0.00407,0.35587,-0.0114,-0.00392,-0.0112,0.5079,1207,12
