year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2020,,,,,,,0.10010402447070788,0.046998761796628985,0.029585240542158386,0.0021856836470115493,0.014502709680841885,0.007578844723644007
2021,0.0,-0.007666615170678126,0.05318368693045894,0.05235386954408505,0.0,-0.038734395268415045,0.004000232682146665,-0.01661752832771135,-0.053702201272353145,-0.04845861304135313,0.07942744949482283,0.0
2022,0.003588952217411734,-0.012461477521302666,0.06793002682281046,0.0,0.0,-0.05421386565969755,0.06042787731629096,-0.04360195333775019,0.04185140717499336,-0.000999816085060834,0.04045799674858386,0.0019826425513804757
2023,-0.01979815495277526,0.051822894411895915,0.0,0.029422037899279108,-0.1595130258475247,0.012765607851771055,0.008427873553651821,-0.015491631489870872,0.023356926635699216,-0.002103257879408238,-0.0056870997899595155,-0.01840991725293184
2024,0.051545461863804265,0.0,0.02203258994121038,-0.02621886936347284,-0.08338104350005338,0.01901765011504808,0.035055351207821106,0.0,0.013734684288860377,-0.0730958220597534,-0.0841093797840139,-0.10469924640844075
2025,0.04277142148090918,0.06083004762367761,-0.02946648077895897,-0.011322622680023153,0.02140525374454927,0.07968468284831198,0.0,0.0,0.0,0.053253028682366255,0.06140772040912057,0.07775766713142596
2026,0.0,0.02502044834757533,,,,,,,,,,
