year,n_days,ann_ret%,sharpe,alpha%,beta,r2
2020,70,73.06,2.789,69.82,-0.0247,0.0009
2021,154,3.53,-0.106,2.16,-0.1304,0.0521
2022,115,23.02,0.934,15.71,0.1632,0.1274
2023,165,-14.28,-0.824,-2.61,-0.1715,0.0451
2024,184,-31.35,-1.577,-37.31,-0.0533,0.0055
2025,135,68.47,2.156,62.52,0.0237,0.0014
2026,9,66.86,5.515,65.92,-0.0505,0.0102
