Model,IC,ICIR,RankIC,RankICIR,IC_pos_pct,N
RandomForest,-0.056046261100152234,-0.16235221424002877,-0.04335787669121003,-0.1278616632637242,0.43386243386243384,1134
GradientBoosting,-0.03755827344741128,-0.11025015527058724,-0.03403665344922112,-0.10360304918214648,0.4497354497354497,1134
