year,n_days,ann_ret%,sharpe,alpha%,beta,r2
2020,142,-5.0,-0.552,-13.4,0.1197,0.0146
2021,252,43.25,1.995,33.23,0.2318,0.0249
2022,251,-12.12,-0.968,-23.32,-0.2699,0.1342
2023,250,-1.03,-0.32,-5.32,-0.0454,0.0009
2024,252,28.69,1.085,19.59,0.2203,0.0163
2025,250,-11.41,-0.757,-16.2,-0.0284,0.0006
2026,34,147.67,4.416,141.62,0.2434,0.0078
