year,n_days,ann_ret%,sharpe,alpha%,beta,r2
2020,70,29.36,1.611,23.21,0.0126,0.0006
2021,154,31.6,2.538,27.05,-0.0211,0.003
2022,115,-5.16,-0.947,-10.46,0.0103,0.0016
2023,165,-7.23,-1.118,-8.73,-0.0374,0.0097
2024,184,-6.74,-1.051,-12.16,-0.0168,0.0023
2025,135,19.17,1.063,13.26,0.0221,0.0062
