year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2020,,,,,,0.004335476841541341,-0.005812313582939654,0.06108539699993387,-0.054819700066456534,-0.04801649602100089,-0.012340911810613031,0.014185480271601492
2021,0.02501595751924568,0.05273820912819582,0.04010432757637128,-0.0240807390385106,0.0023699650147468443,0.05657252240456834,0.062242598296522234,0.05367790519126969,-0.0001995870487500051,0.09149119856736454,0.11604134084287487,-0.06060745585501559
2022,-0.02712348017226862,-0.048776372584515504,-0.036070438382158065,-0.00935611202392772,-0.06227021127541843,-0.0005264315800701524,-0.052000933470432664,-0.010566674875150284,0.04681540202597101,0.04076841488476268,-0.02819360618383082,0.0406451185228085
2023,-0.03481530740421024,-0.015626893602811887,-0.005596970615459829,-0.0028899631314354135,0.12510852196050548,-0.0029891854327369627,0.004165504379195051,0.01754824546277356,-0.08552819763622621,0.00033091108599281327,-0.029325787434832606,-0.007642553177301226
2024,-0.007859132923546563,0.01336618633309583,0.0020246427053720595,0.05189631525630234,0.05025854714164235,-0.016865479136231598,-0.01137670581547745,0.08555168054646956,-0.04802714602291436,0.06387330879438524,0.00531302784506682,0.07010360048295672
2025,-0.03700156957966738,-0.03782175807519872,0.06567281979782358,-0.0953116828312649,-0.007740446058478678,-0.019207831665783437,0.09663087346012733,-0.10485733240649153,-0.027132391920351107,0.03998902964010953,-0.008634736605098503,0.0020186289380121902
2026,0.18186346599087133,0.012107825104204606,,,,,,,,,,
