,r2_S&P 500,r2_Nasdaq-100,r2_Technology,r2_Financials,r2_Industrials
2025-12-15,0.5648,0.7019,0.768,0.0841,0.2856
2025-12-16,0.56,0.6975,0.7634,0.0775,0.2815
2025-12-17,0.5613,0.6969,0.7618,0.077,0.2804
2025-12-18,0.5722,0.7071,0.7696,0.0754,0.2995
2025-12-19,0.5746,0.7098,0.7717,0.0737,0.3031
2025-12-22,0.5834,0.716,0.7767,0.0758,0.3115
2025-12-23,0.5775,0.7112,0.7734,0.0676,0.3083
2025-12-24,0.5777,0.7109,0.773,0.0686,0.3161
2025-12-26,0.5788,0.7122,0.773,0.068,0.3169
2025-12-29,0.5817,0.7133,0.7728,0.0684,0.3225
2025-12-30,0.584,0.716,0.7778,0.0699,0.3244
2025-12-31,0.584,0.7177,0.7788,0.0713,0.3264
2026-01-02,0.5852,0.7183,0.7787,0.0748,0.3313
2026-01-05,0.5712,0.687,0.7588,0.075,0.3513
2026-01-06,0.5685,0.6859,0.7564,0.0734,0.3518
2026-01-07,0.5747,0.6906,0.7593,0.081,0.3649
2026-01-08,0.5781,0.6901,0.7588,0.0843,0.3644
2026-01-09,0.5749,0.6939,0.764,0.0802,0.3507
2026-01-12,0.5774,0.6958,0.7662,0.076,0.3572
2026-01-13,0.5805,0.7007,0.7672,0.0779,0.3616
2026-01-14,0.5844,0.6994,0.7647,0.0774,0.3691
2026-01-15,0.5864,0.6965,0.7631,0.079,0.3698
2026-01-16,0.5883,0.6986,0.7653,0.0805,0.3747
2026-01-20,0.5839,0.6943,0.7626,0.0805,0.3766
2026-01-21,0.5717,0.6902,0.7552,0.0866,0.3788
2026-01-22,0.5812,0.6937,0.7559,0.092,0.3933
2026-01-23,0.5916,0.695,0.7584,0.0942,0.4156
2026-01-26,0.5896,0.6901,0.7565,0.0977,0.4178
2026-01-27,0.5863,0.6871,0.7518,0.0968,0.423
2026-01-28,0.59,0.69,0.7531,0.0946,0.4291
2026-01-29,0.5819,0.6857,0.752,0.0934,0.4188
2026-01-30,0.5827,0.6836,0.7416,0.0922,0.4166
2026-02-02,0.5752,0.6904,0.7527,0.0876,0.4173
2026-02-03,0.5843,0.6982,0.7585,0.0866,0.4189
2026-02-04,0.5971,0.7088,0.7653,0.0894,0.4
2026-02-05,0.5906,0.7166,0.7746,0.0747,0.3773
2026-02-06,0.5876,0.7234,0.7749,0.0754,0.3765
2026-02-09,0.6098,0.7334,0.7872,0.0977,0.408
2026-02-10,0.6123,0.7354,0.7858,0.0951,0.4085
2026-02-11,0.6125,0.7355,0.7864,0.0958,0.4079
2026-02-12,0.5998,0.7286,0.7796,0.0779,0.4036
2026-02-13,0.6035,0.7324,0.7827,0.0858,0.4104
2026-02-17,0.6031,0.7325,0.7827,0.086,0.4137
2026-02-18,0.6045,0.7349,0.7839,0.0791,0.4099
2026-02-19,0.6049,0.7348,0.7836,0.08,0.409
