signal,IC_mean,ICIR,RankIC_mean,RankICIR,IC_pos_pct,N_days
reversal_1d,0.00448,0.013,0.01015,0.0297,0.511,1533
sue_decay,-0.04581,-0.1481,-0.03351,-0.1125,0.057,1534
nlp_sent,0.00519,0.0145,0.02478,0.0709,0.488,1534
vol_ratio,-0.01813,-0.0589,-0.02079,-0.0675,0.473,1534
mom_20d,0.00433,0.013,0.00594,0.0178,0.505,1514
dist_52w_high,0.02801,0.0788,0.02887,0.0827,0.536,1283
