,ic
2021-07-06,0.7130578134038562
2021-07-07,0.41903324503408707
2021-07-08,0.4005534901029958
2021-07-09,0.3176669244675616
2021-07-12,0.4812652164406995
2021-07-13,0.4411847648772077
2021-07-14,0.10528726991449222
2021-07-15,0.08517280003416254
2021-07-16,0.241848561151483
2021-07-19,-0.1326903544374667
2021-07-20,-0.10884940443960932
2021-07-21,-0.11469830863820979
2021-07-22,0.2757589404861043
2021-07-23,0.0956140042624323
2021-07-26,0.03228110195154867
2021-07-27,0.26029993361571163
2021-07-28,-0.25584243323792455
2021-07-29,-0.24315540925149853
2021-07-30,-0.08658671992635975
2021-08-02,0.23519956069445958
2021-08-03,0.39674817952594366
2021-08-04,0.6191688794030883
2021-08-05,0.48947974021000057
2021-08-06,0.14418534260035518
2021-08-09,0.1161342264211998
2021-08-10,-0.16128532688610042
2021-08-11,0.3178554182800334
2021-08-12,-0.22375328141250117
2021-08-13,0.22548430011075074
2021-08-16,0.37109518069926356
2021-08-17,0.3915141729486768
2021-08-18,0.18946567678872267
2021-08-19,0.10266025726517271
2021-08-20,-0.2143206416244651
2021-08-23,-0.29318225805298903
2021-08-24,-0.2499042200985833
2021-08-25,-0.14088637862950332
2021-08-26,-0.1505052148526566
2021-08-27,0.03558602103231363
2021-08-30,0.1459361838679175
2021-08-31,-0.03141313275560073
2021-09-01,0.5319333034638537
2021-09-02,0.36591851179750445
2021-09-03,0.25861716021984876
2021-09-07,0.27601363297218307
2021-09-08,0.31184312051501434
2021-09-09,0.41177299878193635
2021-09-10,0.14650185095627213
2021-09-13,0.2738450079862159
2021-09-14,-0.08515448730591121
2021-09-15,-0.007762488105864648
2021-09-16,-0.15941105958885263
2021-09-17,-0.052733248957072126
2021-09-20,-0.04278550625184997
2021-09-21,0.144884072403677
2021-09-22,0.09430586495871038
2021-09-23,0.25662079127413384
2021-09-24,0.04443854163322958
2021-09-27,-0.004159557185309387
2021-09-28,-0.07273184484230516
2021-09-29,0.02732694359627677
2021-09-30,0.15311622025235017
2021-10-01,0.26679291229382507
2021-10-04,-0.5864246588920242
2021-10-05,-0.31052970652073886
2021-10-06,-0.2856214339618762
2021-10-07,-0.4627899227529263
2021-10-08,-0.37217482754602604
2021-10-11,-0.2537840495942046
2021-10-12,-0.0779057391606075
2021-10-13,-0.013170758396353566
2021-10-14,0.17612943092417532
2021-10-15,-0.48707374776011175
2021-10-18,-0.009734489749128036
2021-10-19,-0.061186997476768375
2021-10-20,-0.1742889033454024
2021-10-21,-0.12037782385491816
2021-10-22,-0.07124968548162261
2021-10-25,-0.09937862842471
2021-10-26,-0.23799159546125043
2021-10-27,-0.16677934413680384
2021-10-28,-0.37676825759087135
2021-10-29,-0.10856451526944484
2021-11-01,-0.32145111327957593
2021-11-02,-0.09648263309526078
2021-11-03,-0.212697820200523
2021-11-04,0.2957220571662904
2021-11-05,0.25618432527994456
2021-11-08,0.3924380104651636
2021-11-09,-0.33087356133928814
2021-11-10,-0.41697421666085704
2021-11-11,-0.5409815004275336
2021-11-12,-0.3310369519690514
2021-11-15,-0.29742844556361664
2021-11-16,0.28193158717071715
2021-11-17,0.10405880780955912
2021-11-18,0.42097078055844933
2021-11-19,0.19891859589036986
2021-11-22,-0.2273236117183683
2021-11-23,0.23295877005666663
2021-11-24,0.25073247592280273
2021-11-26,0.5253439711365788
2021-11-29,-0.11364128247097244
2021-11-30,0.2784641030812555
2021-12-01,-0.19135927363201638
2021-12-02,-0.40934451914002157
2021-12-03,-0.42677296814334675
2021-12-06,-0.4464328151076751
2021-12-07,-0.44355906779731485
2021-12-08,0.024860958534962424
2021-12-09,0.28083552152563257
2021-12-10,0.3483401228510108
2021-12-13,0.32669999895026286
2021-12-14,0.02877492036968938
2021-12-15,-0.4450068229442181
2021-12-16,-0.13429339873921592
2021-12-17,0.31240513696701583
2021-12-20,0.15158551916668156
2021-12-21,-0.37363270875636645
2021-12-22,-0.10097501086885009
2021-12-23,-0.46977391266269447
2021-12-27,-0.4503273578781312
2021-12-28,-0.6155103475865737
2021-12-29,-0.4269643238797682
2021-12-30,-0.49223659242061313
2021-12-31,-0.47118906999961074
2022-01-03,-0.5517953559877619
2022-01-04,-0.02456938727034008
2022-01-05,0.07690366667502174
2022-01-06,-0.38000196182809437
2022-01-07,-0.45739237681559963
2022-01-10,-0.3602102433518199
2022-01-11,-0.4962716690482525
2022-01-12,-0.506814561433888
2022-01-13,-0.06946652096946351
2022-01-14,-0.12532685259431467
2022-01-18,-0.6168585742914148
2022-01-19,-0.632361159596266
2022-01-20,-0.7081566592551539
2022-01-21,-0.5002259307921606
2022-01-24,0.0787510343671779
2022-01-25,0.5205613384148007
2022-01-26,0.07054044812298726
2022-01-27,0.3324878171375826
2022-01-28,0.4792705813762087
2022-01-31,0.411524715415161
2022-02-01,0.5100024822514103
2022-02-02,0.6171313352021848
2022-02-03,0.12615127826264624
2022-02-04,-0.27765083335113094
2022-02-07,-0.3049192864250937
2022-02-08,-0.15680844526025067
2022-02-09,-0.20825789602231387
2022-02-10,-0.07500436264825557
2022-02-11,-0.12514271919139225
2022-02-14,-0.1236068006031483
2022-02-15,-0.45226563276027976
2022-02-16,-0.011218628957086092
2022-02-17,0.529527642832359
2022-02-18,0.5455925219710824
2022-02-22,0.18809894939486532
2022-02-23,0.26923359402668634
2022-02-24,-0.5562366902241304
2022-02-25,-0.47879439955010433
2022-02-28,-0.31352059464801857
2022-03-01,-0.07036375050291888
2022-03-02,0.026723815364730313
2022-03-03,-0.12115334997225397
2022-03-04,0.08644595779711253
2022-03-07,0.17390728393842378
2022-03-08,-0.21585423268059792
2022-03-09,0.04299602087795919
2022-03-10,0.6236327031252781
2022-03-11,0.6500242220548571
2022-03-14,0.689919064943491
2022-03-15,0.502370473797179
2022-03-16,-0.19296192495617126
2022-03-17,0.13513462096540907
2022-03-18,0.2684665135117052
2022-03-21,-0.015454475088968633
2022-03-22,0.1695281041260448
2022-03-23,0.12809926521329365
2022-03-24,-0.39005469372151297
2022-03-25,-0.41275439114891366
2022-03-28,-0.48275887256025113
2022-03-29,-0.46373715909710944
2022-03-30,-0.04648033191101825
2022-03-31,-0.3541694683291681
2022-04-01,-0.13682339072021404
2022-04-04,-0.17722079831450982
2022-04-05,-0.20067513362787845
2022-04-06,-0.23682557641644766
2022-04-07,-0.38572695662541384
2022-04-08,-0.44735151959025676
2022-04-11,-0.18298745798605257
2022-04-12,-0.19625780669528053
2022-04-13,-0.6571085690495593
2022-04-14,-0.727980667601458
2022-04-18,-0.5026749221423811
2022-04-19,-0.6457148769104741
2022-04-20,-0.495865773761766
2022-04-21,0.2046057557466755
2022-04-22,0.06201620615870554
2022-04-25,0.04137946411660096
2022-04-26,0.2898482398395856
2022-04-27,0.7645814981763488
2022-04-28,-0.06707789606038664
2022-04-29,0.0011012685558305646
2022-05-02,-0.7210766954678481
2022-05-03,-0.6267421854583233
2022-05-04,-0.8609924424757758
2022-05-05,-0.8749639702047076
2022-05-06,-0.5824169235551135
2022-05-09,0.19518423874876017
2022-05-10,0.2723569745659342
2022-05-11,0.24543599649593412
2022-05-12,0.583357293484919
2022-05-13,-0.21924364922230713
2022-05-16,0.3478535102954617
2022-05-17,-0.050945040598000535
2022-05-18,0.27018293632671786
2022-05-19,0.3825818438442715
2022-05-20,0.4633466911397958
2022-05-23,0.552020690323704
2022-05-24,0.6382950186027913
2022-05-25,0.7738776815760713
2022-05-26,0.5724927944339974
2022-05-27,0.6289475839809899
2022-05-31,0.5491871778383581
2022-06-01,0.5331025946378959
2022-06-02,-0.20484126236034023
2022-06-03,-0.4709759056052198
2022-06-06,-0.8499181454960267
2022-06-07,-0.7930822465201033
2022-06-08,-0.7451567677222046
2022-06-09,-0.8217412850532257
2022-06-10,-0.6125118534937771
2022-06-13,-0.1752714646326562
2022-06-14,0.17454683642204016
2022-06-15,0.140624032544739
2022-06-16,0.6472897396656667
2022-06-17,0.5235571438793152
2022-06-21,-0.20569706264112597
2022-06-22,-0.26429703366424967
2022-06-23,-0.3376329097436035
2022-06-24,-0.38118630282756233
2022-06-27,-0.2224224088732604
2022-06-28,0.015790730975644873
2022-06-29,0.17574395251218938
2022-06-30,0.11163712017779112
2022-07-01,0.07977561283967935
2022-07-05,-0.004872828895216237
2022-07-06,0.4168590128059787
2022-07-07,0.05431511129726144
2022-07-08,0.0070348341592684285
2022-07-11,0.36447747047432366
2022-07-12,0.5136553268718067
2022-07-13,0.438040401397473
2022-07-14,0.4055368915774939
2022-07-15,0.11743670998691555
2022-07-18,0.03994636199687975
2022-07-19,-0.2503959615487499
2022-07-20,-0.3717348454238315
2022-07-21,-0.22927800919169208
2022-07-22,-0.08885630425957448
2022-07-25,0.02646701379755617
2022-07-26,0.23035993785896547
2022-07-27,0.14945017074928435
2022-07-28,0.18030047547636724
2022-07-29,0.015341545695143871
2022-08-01,-0.21545560919976897
2022-08-02,-0.4761802520413202
2022-08-03,-0.13494091852296203
2022-08-04,-0.22764374615509508
2022-08-05,0.020765998272052694
2022-08-08,0.2582181844605805
2022-08-09,0.30558557797074193
2022-08-10,0.13634718082702746
2022-08-11,0.028342567307304653
2022-08-12,-0.5742124515077787
2022-08-15,-0.2652032527004814
2022-08-16,-0.16759355198002762
2022-08-17,-0.08047064475412269
2022-08-18,-0.27835682984582316
2022-08-19,-0.2907303985541381
2022-08-22,-0.5063878699550682
2022-08-23,-0.35256352857620177
2022-08-24,-0.259098959850261
2022-08-25,-0.33039519333771283
2022-08-26,-0.34815343013954825
2022-08-29,-0.2971542339408213
2022-08-30,-0.522877395499776
2022-08-31,-0.49013541059349586
2022-09-01,0.08639181590447367
2022-09-02,0.3179661143566765
2022-09-06,-0.2028585142257115
2022-09-07,-0.477567646367526
2022-09-08,-0.7346532825596458
2022-09-09,-0.6996242426721391
2022-09-12,-0.6264669939302994
2022-09-13,-0.2780746468345675
2022-09-14,0.2822642200913454
2022-09-15,-0.2879878989615813
2022-09-16,-0.21147183459154367
2022-09-19,-0.44960681179223283
2022-09-20,-0.1783933163427412
2022-09-21,-0.2780815409139875
2022-09-22,0.0005482538663917208
2022-09-23,0.03446609723411179
2022-09-26,0.26371124537092194
2022-09-27,0.3024248329701033
2022-09-28,-0.07631275655784492
2022-09-29,0.2819957711272693
2022-09-30,-0.4842173210680737
2022-10-03,-0.49259130041604254
2022-10-04,0.08662576059479299
2022-10-05,0.3448777332544591
2022-10-06,0.22559990520946507
2022-10-07,0.0214998640139433
2022-10-10,-0.10151240397646608
