signal,fwd_days,IC_mean,IC_std,ICIR,RankIC_mean,RankICIR,IC_pos_pct,N_days,N_tickers
SUE (earnings surprise),5,0.02657,0.14743,0.1803,0.02326,0.1622,0.0768,1536,71
SUE decay-weighted,5,0.04552,0.16813,0.2707,0.02761,0.1912,0.4615,260,71
Analyst revision proxy,5,0.01529,0.13213,0.1157,0.02661,0.1844,0.5663,279,71
Short interest proxy,5,-0.00717,0.17513,-0.0409,-0.00358,-0.0189,0.4954,1526,71
