,importance
vol_20d,0.14474460189998636
mom_60d,0.12765274222318987
dist_52w_high,0.12352796800381723
mom_20d,0.1183329452284855
mom_10d,0.11820387651743518
vol_5d,0.0797497628509493
vol_ratio,0.07649786867610121
mom_5d,0.06644655988492607
reversal_1d,0.037687676375727494
mom_1d,0.03538024877305711
cs_rank_mom10,0.0191441706189564
